checking_balance,loan_duration,credit_history,purpose,credit_balance,employment_duration,guarantor,assets,age,housing,existing_credits,employment_duration,num_dependents,foreign,loan_status
<0,21.0,all paid,new car,1647.0,1<=X<4,none,life insurance,40.0,own,2.0,unskilled resident,2.0,yes,bad
no checking,6.0,existing paid,new car,672.0,unemployed,none,real estate,54.0,own,1.0,unemp/unskilled non res,1.0,yes,good
no checking,24.0,existing paid,radio/tv,1376.0,4<=X<7,none,car,28.0,own,1.0,skilled,1.0,yes,good
<0,24.0,delayed previously,radio/tv,1024.0,<1,none,real estate,48.0,own,1.0,skilled,1.0,yes,bad
>=200,10.0,critical/other existing credit,radio/tv,1347.0,4<=X<7,none,life insurance,27.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,existing paid,radio/tv,1413.0,1<=X<4,none,life insurance,28.0,own,1.0,skilled,1.0,yes,good
<0,12.0,no credits/all paid,radio/tv,6199.0,1<=X<4,none,life insurance,28.0,rent,2.0,skilled,1.0,yes,bad
<0,48.0,all paid,business,7685.0,4<=X<7,guarantor,car,37.0,rent,1.0,skilled,1.0,yes,bad
<0,24.0,existing paid,used car,6579.0,unemployed,none,no known property,29.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,15.0,existing paid,radio/tv,2327.0,<1,none,real estate,25.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,6.0,critical/other existing credit,new car,362.0,1<=X<4,none,car,52.0,own,2.0,unskilled resident,1.0,yes,good
<0,10.0,critical/other existing credit,new car,1038.0,4<=X<7,co applicant,life insurance,49.0,own,2.0,skilled,1.0,yes,good
<0,11.0,critical/other existing credit,new car,3905.0,1<=X<4,none,real estate,36.0,rent,2.0,skilled,2.0,yes,good
0<=X<200,15.0,existing paid,repairs,1514.0,1<=X<4,guarantor,real estate,22.0,own,1.0,skilled,1.0,yes,good
no checking,24.0,existing paid,furniture/equipment,3972.0,4<=X<7,none,life insurance,25.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,18.0,existing paid,education,1239.0,1<=X<4,none,no known property,61.0,for free,1.0,skilled,1.0,yes,good
<0,18.0,all paid,new car,1442.0,4<=X<7,none,no known property,32.0,for free,2.0,unskilled resident,2.0,yes,bad
0<=X<200,12.0,existing paid,new car,685.0,4<=X<7,none,car,25.0,own,1.0,unskilled resident,1.0,yes,bad
0<=X<200,24.0,existing paid,new car,2718.0,1<=X<4,none,life insurance,20.0,rent,1.0,unskilled resident,1.0,yes,bad
0<=X<200,27.0,critical/other existing credit,radio/tv,2520.0,1<=X<4,none,life insurance,23.0,own,2.0,unskilled resident,1.0,yes,bad
<0,15.0,critical/other existing credit,furniture/equipment,975.0,1<=X<4,none,life insurance,25.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,critical/other existing credit,used car,3868.0,>=7,none,car,41.0,rent,2.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,7.0,critical/other existing credit,radio/tv,730.0,>=7,none,life insurance,46.0,rent,2.0,unskilled resident,1.0,yes,good
no checking,9.0,existing paid,radio/tv,2753.0,>=7,co applicant,car,35.0,own,1.0,skilled,1.0,yes,good
0<=X<200,9.0,existing paid,radio/tv,1670.0,<1,none,car,22.0,own,1.0,skilled,1.0,yes,bad
no checking,6.0,all paid,radio/tv,1750.0,>=7,none,life insurance,45.0,own,1.0,unskilled resident,2.0,yes,good
no checking,24.0,critical/other existing credit,furniture/equipment,1585.0,4<=X<7,none,life insurance,40.0,own,2.0,skilled,1.0,yes,good
0<=X<200,24.0,existing paid,radio/tv,1967.0,>=7,none,car,20.0,own,1.0,skilled,1.0,yes,good
>=200,4.0,existing paid,new car,1494.0,<1,none,real estate,29.0,own,1.0,unskilled resident,2.0,no,good
no checking,36.0,existing paid,radio/tv,2394.0,1<=X<4,none,car,25.0,own,1.0,skilled,1.0,yes,good
<0,18.0,critical/other existing credit,new car,5302.0,>=7,none,no known property,36.0,for free,3.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,60.0,existing paid,education,6288.0,1<=X<4,none,no known property,42.0,for free,1.0,skilled,1.0,yes,bad
0<=X<200,30.0,critical/other existing credit,furniture/equipment,8386.0,4<=X<7,none,life insurance,49.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,30.0,no credits/all paid,business,4280.0,1<=X<4,none,car,26.0,rent,2.0,unskilled resident,1.0,yes,bad
0<=X<200,15.0,existing paid,radio/tv,1444.0,<1,none,life insurance,23.0,own,1.0,skilled,1.0,yes,good
no checking,36.0,critical/other existing credit,radio/tv,9566.0,1<=X<4,none,car,31.0,own,2.0,skilled,1.0,yes,good
0<=X<200,36.0,existing paid,education,12612.0,1<=X<4,none,no known property,47.0,for free,1.0,skilled,2.0,yes,bad
no checking,24.0,existing paid,used car,9277.0,1<=X<4,none,no known property,48.0,for free,1.0,skilled,1.0,yes,good
<0,30.0,existing paid,radio/tv,2522.0,>=7,guarantor,life insurance,39.0,own,1.0,skilled,2.0,yes,good
no checking,36.0,existing paid,used car,8133.0,1<=X<4,none,life insurance,30.0,own,1.0,skilled,1.0,yes,good
0<=X<200,9.0,existing paid,radio/tv,1206.0,>=7,none,real estate,25.0,own,1.0,skilled,1.0,yes,good
<0,36.0,existing paid,furniture/equipment,5179.0,4<=X<7,none,life insurance,29.0,own,1.0,skilled,1.0,yes,bad
0<=X<200,24.0,existing paid,radio/tv,5084.0,>=7,none,car,42.0,own,1.0,skilled,1.0,yes,good
0<=X<200,27.0,no credits/all paid,business,8318.0,>=7,none,no known property,42.0,for free,2.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,30.0,existing paid,furniture/equipment,3108.0,<1,none,life insurance,31.0,own,1.0,unskilled resident,1.0,yes,bad
<0,18.0,existing paid,furniture/equipment,4153.0,1<=X<4,co applicant,car,42.0,own,1.0,skilled,1.0,yes,bad
no checking,36.0,delayed previously,radio/tv,4463.0,1<=X<4,none,car,26.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,9.0,existing paid,furniture/equipment,2301.0,<1,none,life insurance,22.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,48.0,existing paid,new car,6560.0,4<=X<7,none,life insurance,24.0,own,1.0,skilled,1.0,yes,bad
no checking,36.0,existing paid,furniture/equipment,10974.0,unemployed,none,car,26.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,6.0,existing paid,radio/tv,1595.0,4<=X<7,none,life insurance,51.0,own,1.0,skilled,2.0,yes,good
<0,24.0,existing paid,other,1755.0,>=7,guarantor,real estate,58.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,20.0,delayed previously,used car,7057.0,4<=X<7,none,life insurance,36.0,rent,2.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,10.0,existing paid,furniture/equipment,2210.0,1<=X<4,none,real estate,25.0,rent,1.0,unskilled resident,1.0,yes,bad
no checking,24.0,critical/other existing credit,radio/tv,5103.0,<1,none,no known property,47.0,for free,3.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,new car,1007.0,1<=X<4,none,real estate,22.0,own,1.0,skilled,1.0,yes,good
0<=X<200,48.0,all paid,new car,12169.0,unemployed,co applicant,no known property,36.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,30.0,critical/other existing credit,radio/tv,3656.0,>=7,none,life insurance,49.0,own,2.0,unskilled resident,1.0,yes,good
<0,12.0,existing paid,education,1200.0,1<=X<4,none,life insurance,23.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,18.0,critical/other existing credit,new car,1056.0,>=7,guarantor,real estate,30.0,own,2.0,skilled,1.0,yes,bad
0<=X<200,60.0,delayed previously,radio/tv,9157.0,1<=X<4,none,no known property,27.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,15.0,critical/other existing credit,radio/tv,1459.0,1<=X<4,none,car,43.0,own,1.0,unskilled resident,1.0,yes,good
<0,24.0,existing paid,radio/tv,1987.0,1<=X<4,none,real estate,21.0,rent,1.0,unskilled resident,2.0,yes,bad
<0,20.0,critical/other existing credit,furniture/equipment,4272.0,>=7,none,life insurance,24.0,own,2.0,skilled,1.0,yes,good
no checking,18.0,critical/other existing credit,education,1864.0,1<=X<4,none,real estate,30.0,own,2.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,radio/tv,1567.0,1<=X<4,none,car,22.0,own,1.0,skilled,1.0,yes,good
<0,18.0,existing paid,new car,2249.0,4<=X<7,none,car,30.0,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
no checking,18.0,critical/other existing credit,new car,1055.0,<1,none,life insurance,30.0,own,2.0,skilled,1.0,yes,good
>=200,24.0,existing paid,radio/tv,1377.0,>=7,none,no known property,47.0,for free,1.0,skilled,1.0,yes,good
no checking,18.0,all paid,new car,6458.0,>=7,none,no known property,39.0,own,2.0,high qualif/self emp/mgmt,2.0,yes,bad
<0,9.0,existing paid,furniture/equipment,2136.0,1<=X<4,none,real estate,25.0,own,1.0,skilled,1.0,yes,good
<0,30.0,critical/other existing credit,used car,6187.0,4<=X<7,none,car,24.0,rent,2.0,skilled,1.0,yes,good
<0,18.0,all paid,radio/tv,1940.0,<1,co applicant,no known property,36.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,36.0,critical/other existing credit,new car,3535.0,4<=X<7,none,car,37.0,own,2.0,skilled,1.0,yes,good
0<=X<200,24.0,existing paid,new car,1246.0,<1,none,real estate,23.0,own,1.0,unskilled resident,1.0,yes,bad
no checking,24.0,existing paid,used car,2670.0,>=7,none,car,35.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,18.0,existing paid,new car,6761.0,1<=X<4,none,car,68.0,rent,2.0,skilled,1.0,yes,bad
0<=X<200,18.0,critical/other existing credit,business,3590.0,unemployed,none,car,40.0,own,3.0,unemp/unskilled non res,2.0,yes,good
0<=X<200,15.0,critical/other existing credit,radio/tv,2728.0,4<=X<7,guarantor,real estate,35.0,own,3.0,skilled,1.0,yes,good
no checking,36.0,delayed previously,furniture/equipment,7678.0,4<=X<7,none,car,40.0,own,2.0,skilled,1.0,yes,good
0<=X<200,45.0,critical/other existing credit,used car,4576.0,unemployed,none,car,27.0,own,1.0,skilled,1.0,yes,good
no checking,12.0,delayed previously,used car,1503.0,1<=X<4,none,real estate,41.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,24.0,existing paid,radio/tv,3758.0,unemployed,none,no known property,23.0,rent,1.0,unemp/unskilled non res,1.0,yes,good
0<=X<200,15.0,all paid,new car,1264.0,1<=X<4,none,life insurance,25.0,rent,1.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,radio/tv,1092.0,1<=X<4,guarantor,real estate,49.0,own,2.0,skilled,1.0,yes,good
<0,6.0,critical/other existing credit,furniture/equipment,1872.0,unemployed,none,no known property,36.0,for free,3.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,18.0,critical/other existing credit,new car,1028.0,1<=X<4,none,real estate,36.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,existing paid,new car,3757.0,>=7,co applicant,no known property,62.0,for free,1.0,skilled,1.0,yes,good
no checking,15.0,existing paid,domestic appliance,874.0,<1,none,real estate,24.0,own,1.0,skilled,1.0,yes,good
no checking,36.0,existing paid,used car,4686.0,1<=X<4,none,no known property,32.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,12.0,existing paid,furniture/equipment,7865.0,>=7,none,no known property,53.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,36.0,existing paid,new car,9271.0,4<=X<7,none,car,24.0,own,1.0,skilled,1.0,yes,bad
<0,6.0,existing paid,used car,1352.0,unemployed,none,life insurance,23.0,rent,1.0,unemp/unskilled non res,1.0,yes,good
no checking,30.0,existing paid,radio/tv,1867.0,>=7,none,car,58.0,own,1.0,skilled,1.0,yes,good
<0,36.0,existing paid,used car,8335.0,>=7,none,no known property,47.0,for free,1.0,skilled,1.0,yes,bad
no checking,15.0,existing paid,domestic appliance,1262.0,4<=X<7,none,life insurance,36.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,delayed previously,used car,4679.0,4<=X<7,none,car,35.0,own,2.0,unskilled resident,1.0,yes,good
0<=X<200,18.0,no credits/all paid,furniture/equipment,3244.0,1<=X<4,none,car,33.0,own,2.0,skilled,1.0,yes,good
<0,9.0,existing paid,new car,1422.0,<1,none,no known property,27.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,30.0,existing paid,furniture/equipment,3441.0,1<=X<4,co applicant,car,21.0,rent,1.0,skilled,1.0,yes,bad
0<=X<200,12.0,existing paid,new car,1318.0,>=7,none,real estate,54.0,own,1.0,skilled,1.0,yes,good
0<=X<200,30.0,existing paid,new car,2150.0,1<=X<4,guarantor,no known property,24.0,own,1.0,skilled,1.0,yes,bad
no checking,48.0,existing paid,business,4844.0,unemployed,none,car,33.0,rent,1.0,high qualif/self emp/mgmt,1.0,yes,bad
no checking,15.0,critical/other existing credit,used car,3368.0,>=7,none,no known property,23.0,rent,2.0,skilled,1.0,yes,good
0<=X<200,21.0,critical/other existing credit,business,3652.0,4<=X<7,none,life insurance,27.0,own,2.0,skilled,1.0,yes,good
<0,15.0,delayed previously,furniture/equipment,3643.0,>=7,none,life insurance,27.0,own,2.0,unskilled resident,1.0,yes,good
>=200,10.0,existing paid,domestic appliance,1225.0,1<=X<4,none,car,37.0,own,1.0,skilled,1.0,yes,good
0<=X<200,60.0,delayed previously,radio/tv,7418.0,1<=X<4,none,real estate,27.0,own,1.0,unskilled resident,1.0,yes,good
no checking,18.0,existing paid,used car,3378.0,1<=X<4,none,life insurance,31.0,own,1.0,skilled,1.0,yes,good
<0,18.0,existing paid,furniture/equipment,2462.0,1<=X<4,none,car,22.0,own,1.0,skilled,1.0,yes,bad
<0,42.0,existing paid,radio/tv,7174.0,4<=X<7,none,car,30.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
<0,6.0,critical/other existing credit,new car,3676.0,1<=X<4,none,real estate,37.0,rent,3.0,skilled,2.0,yes,good
<0,18.0,existing paid,radio/tv,2600.0,1<=X<4,none,no known property,65.0,for free,2.0,skilled,1.0,yes,bad
>=200,24.0,existing paid,new car,947.0,4<=X<7,none,no known property,38.0,for free,1.0,skilled,2.0,yes,bad
>=200,24.0,critical/other existing credit,business,1275.0,1<=X<4,none,real estate,36.0,own,2.0,skilled,1.0,yes,good
no checking,10.0,critical/other existing credit,new car,1231.0,>=7,none,real estate,32.0,own,2.0,unskilled resident,2.0,no,good
<0,12.0,existing paid,furniture/equipment,1262.0,>=7,none,life insurance,49.0,own,1.0,unskilled resident,1.0,yes,good
no checking,18.0,critical/other existing credit,radio/tv,1582.0,>=7,none,car,46.0,own,2.0,skilled,1.0,yes,good
no checking,15.0,existing paid,used car,1300.0,>=7,none,no known property,45.0,for free,1.0,skilled,2.0,yes,good
<0,6.0,critical/other existing credit,new car,860.0,>=7,none,no known property,39.0,own,2.0,skilled,1.0,yes,good
no checking,6.0,existing paid,domestic appliance,1338.0,1<=X<4,none,real estate,62.0,own,1.0,skilled,1.0,yes,good
no checking,36.0,existing paid,new car,909.0,>=7,none,life insurance,36.0,own,1.0,skilled,1.0,yes,good
0<=X<200,18.0,critical/other existing credit,radio/tv,1795.0,>=7,guarantor,real estate,48.0,rent,2.0,unskilled resident,1.0,yes,good
no checking,9.0,existing paid,new car,2507.0,>=7,none,no known property,51.0,for free,1.0,unskilled resident,1.0,yes,good
0<=X<200,6.0,all paid,new car,931.0,<1,none,life insurance,32.0,own,1.0,unskilled resident,1.0,yes,bad
<0,24.0,all paid,used car,3632.0,1<=X<4,guarantor,car,22.0,rent,1.0,skilled,1.0,no,good
0<=X<200,36.0,delayed previously,business,4455.0,1<=X<4,none,real estate,30.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
0<=X<200,12.0,existing paid,radio/tv,1158.0,1<=X<4,none,car,26.0,own,1.0,skilled,1.0,yes,good
no checking,11.0,existing paid,business,2142.0,>=7,none,real estate,28.0,own,1.0,skilled,1.0,yes,good
0<=X<200,48.0,all paid,business,6416.0,>=7,none,no known property,59.0,rent,1.0,skilled,1.0,yes,bad
no checking,24.0,existing paid,radio/tv,999.0,>=7,none,car,25.0,own,2.0,skilled,1.0,yes,good
no checking,9.0,existing paid,education,3832.0,>=7,none,real estate,64.0,own,1.0,unskilled resident,1.0,yes,good
no checking,9.0,existing paid,radio/tv,2697.0,1<=X<4,none,real estate,32.0,own,1.0,skilled,2.0,yes,good
>=200,6.0,critical/other existing credit,new car,1323.0,>=7,none,car,28.0,own,2.0,skilled,2.0,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2684.0,1<=X<4,none,real estate,35.0,own,2.0,unskilled resident,1.0,yes,good
no checking,24.0,existing paid,used car,2679.0,<1,none,no known property,29.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
0<=X<200,15.0,no credits/all paid,new car,1778.0,<1,none,real estate,26.0,rent,2.0,unemp/unskilled non res,1.0,yes,bad
<0,6.0,critical/other existing credit,radio/tv,1169.0,>=7,none,real estate,67.0,own,2.0,skilled,1.0,yes,good
>=200,30.0,critical/other existing credit,radio/tv,3017.0,>=7,none,life insurance,47.0,own,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,furniture/equipment,2359.0,unemployed,none,life insurance,33.0,own,1.0,skilled,1.0,yes,bad
no checking,30.0,critical/other existing credit,radio/tv,6742.0,4<=X<7,none,life insurance,36.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,education,701.0,1<=X<4,none,car,32.0,own,2.0,skilled,1.0,yes,good
<0,12.0,existing paid,radio/tv,1498.0,1<=X<4,none,car,23.0,own,1.0,skilled,1.0,yes,good
no checking,4.0,existing paid,furniture/equipment,601.0,<1,none,real estate,23.0,rent,1.0,unskilled resident,2.0,yes,good
0<=X<200,36.0,existing paid,education,3711.0,1<=X<4,none,car,27.0,own,1.0,skilled,1.0,yes,good
<0,60.0,delayed previously,business,6836.0,>=7,none,no known property,63.0,own,2.0,skilled,1.0,yes,bad
<0,24.0,all paid,furniture/equipment,2828.0,1<=X<4,none,real estate,22.0,own,1.0,skilled,1.0,yes,good
<0,18.0,existing paid,education,750.0,unemployed,none,real estate,27.0,own,1.0,unemp/unskilled non res,1.0,yes,bad
no checking,15.0,existing paid,radio/tv,1979.0,>=7,none,car,35.0,own,1.0,skilled,1.0,yes,good
0<=X<200,30.0,existing paid,furniture/equipment,3832.0,<1,none,life insurance,22.0,own,1.0,skilled,1.0,yes,good
<0,6.0,existing paid,new car,1203.0,>=7,none,life insurance,43.0,own,1.0,skilled,1.0,yes,good
<0,6.0,critical/other existing credit,radio/tv,1957.0,4<=X<7,none,car,31.0,own,1.0,skilled,1.0,yes,good
<0,24.0,existing paid,radio/tv,2439.0,<1,none,real estate,35.0,own,1.0,skilled,1.0,yes,bad
<0,24.0,existing paid,new car,1371.0,1<=X<4,none,real estate,25.0,rent,1.0,skilled,1.0,yes,bad
0<=X<200,24.0,critical/other existing credit,new car,3878.0,<1,none,car,37.0,own,1.0,skilled,1.0,yes,good
0<=X<200,36.0,delayed previously,new car,2862.0,>=7,none,no known property,30.0,for free,1.0,skilled,1.0,yes,good
<0,10.0,critical/other existing credit,new car,2241.0,<1,none,real estate,48.0,rent,2.0,unskilled resident,2.0,no,good
no checking,24.0,critical/other existing credit,new car,1940.0,>=7,none,real estate,60.0,own,1.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,new car,2002.0,4<=X<7,none,life insurance,30.0,rent,1.0,skilled,2.0,yes,good
0<=X<200,15.0,critical/other existing credit,radio/tv,1537.0,>=7,guarantor,real estate,50.0,own,2.0,skilled,1.0,yes,good
<0,48.0,existing paid,used car,10297.0,4<=X<7,none,no known property,39.0,for free,3.0,skilled,2.0,yes,bad
0<=X<200,26.0,existing paid,used car,7966.0,<1,none,car,30.0,own,2.0,skilled,1.0,yes,good
<0,12.0,existing paid,furniture/equipment,1657.0,1<=X<4,none,real estate,27.0,own,1.0,skilled,1.0,yes,good
no checking,9.0,existing paid,furniture/equipment,1388.0,1<=X<4,none,real estate,26.0,rent,1.0,skilled,1.0,yes,good
0<=X<200,42.0,all paid,used car,9283.0,unemployed,none,no known property,55.0,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
no checking,6.0,no credits/all paid,new car,1204.0,1<=X<4,none,no known property,35.0,rent,1.0,skilled,1.0,no,good
no checking,27.0,delayed previously,business,5117.0,4<=X<7,none,car,26.0,own,2.0,skilled,1.0,yes,good
no checking,21.0,existing paid,business,1572.0,>=7,none,real estate,36.0,own,1.0,unskilled resident,1.0,yes,good
<0,48.0,existing paid,radio/tv,6999.0,4<=X<7,guarantor,real estate,34.0,own,2.0,skilled,1.0,yes,bad
0<=X<200,18.0,delayed previously,new car,2899.0,>=7,none,car,43.0,own,1.0,skilled,2.0,yes,good
no checking,36.0,critical/other existing credit,new car,6614.0,>=7,none,car,34.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
<0,14.0,existing paid,new car,3973.0,unemployed,none,no known property,22.0,for free,1.0,skilled,1.0,yes,good
<0,40.0,critical/other existing credit,education,5998.0,1<=X<4,none,no known property,27.0,own,1.0,skilled,1.0,yes,bad
<0,12.0,critical/other existing credit,new car,691.0,>=7,none,life insurance,35.0,own,2.0,skilled,1.0,yes,bad
<0,24.0,no credits/all paid,furniture/equipment,4110.0,>=7,none,no known property,23.0,rent,2.0,skilled,2.0,yes,bad
no checking,15.0,critical/other existing credit,furniture/equipment,3343.0,1<=X<4,none,no known property,28.0,for free,1.0,skilled,1.0,yes,good
0<=X<200,18.0,delayed previously,business,2427.0,>=7,none,life insurance,42.0,own,2.0,skilled,1.0,yes,good
no checking,12.0,critical/other existing credit,radio/tv,976.0,>=7,none,car,35.0,own,2.0,skilled,1.0,yes,good
no checking,24.0,existing paid,used car,7814.0,4<=X<7,none,car,38.0,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
<0,24.0,all paid,furniture/equipment,6872.0,<1,none,life insurance,55.0,own,1.0,skilled,1.0,yes,bad
no checking,9.0,critical/other existing credit,new car,1224.0,1<=X<4,none,real estate,30.0,own,2.0,skilled,1.0,yes,good
<0,27.0,no credits/all paid,business,5293.0,unemployed,none,life insurance,50.0,own,2.0,skilled,1.0,yes,bad
<0,12.0,all paid,radio/tv,2149.0,1<=X<4,none,no known property,29.0,for free,1.0,skilled,1.0,yes,bad
0<=X<200,54.0,no credits/all paid,business,15945.0,<1,none,no known property,58.0,rent,1.0,skilled,1.0,yes,bad
<0,18.0,existing paid,furniture/equipment,2659.0,1<=X<4,none,car,28.0,own,1.0,skilled,1.0,yes,good
>=200,12.0,existing paid,furniture/equipment,2251.0,1<=X<4,none,car,46.0,own,1.0,unskilled resident,1.0,yes,good
>=200,12.0,all paid,business,609.0,<1,none,real estate,26.0,own,1.0,unemp/unskilled non res,1.0,yes,bad
0<=X<200,9.0,existing paid,radio/tv,1082.0,>=7,none,car,27.0,own,2.0,unskilled resident,1.0,yes,good
no checking,15.0,delayed previously,radio/tv,1478.0,1<=X<4,none,real estate,33.0,own,2.0,skilled,1.0,yes,good
no checking,36.0,critical/other existing credit,furniture/equipment,7127.0,<1,none,life insurance,23.0,rent,2.0,skilled,1.0,yes,bad
no checking,24.0,existing paid,radio/tv,5943.0,<1,none,car,44.0,own,2.0,skilled,1.0,yes,bad
<0,11.0,critical/other existing credit,new car,3939.0,1<=X<4,none,real estate,40.0,own,2.0,unskilled resident,2.0,yes,good
0<=X<200,36.0,critical/other existing credit,used car,5800.0,1<=X<4,none,car,34.0,own,2.0,skilled,1.0,yes,good
0<=X<200,10.0,existing paid,furniture/equipment,1521.0,1<=X<4,none,car,31.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,18.0,critical/other existing credit,furniture/equipment,1295.0,<1,none,life insurance,27.0,own,2.0,skilled,1.0,yes,good
0<=X<200,12.0,existing paid,radio/tv,2930.0,4<=X<7,none,real estate,27.0,own,1.0,skilled,1.0,yes,good
0<=X<200,24.0,delayed previously,furniture/equipment,2333.0,<1,none,life insurance,29.0,own,1.0,unskilled resident,1.0,yes,good
0<=X<200,9.0,existing paid,furniture/equipment,959.0,1<=X<4,none,car,29.0,own,1.0,skilled,1.0,no,bad
no checking,36.0,existing paid,radio/tv,2299.0,>=7,none,car,39.0,own,1.0,skilled,1.0,yes,good
0<=X<200,9.0,existing paid,education,1199.0,4<=X<7,none,life insurance,67.0,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
>=200,24.0,critical/other existing credit,radio/tv,3148.0,1<=X<4,none,car,31.0,own,2.0,skilled,1.0,yes,good
